1;14;11;1:25.211;1:24.855;1:26.202;1
2;13;11;1:25.006;1:24.783;1:26.505;1
3;129;38;1:25.938;1:25.121;1:26.830;1
4;56;9;1:25.922;1:25.152;1:26.914;1
5;104;49;1:25.846;1:25.123;1:26.973;1
6;37;45;1:25.499;1:25.281;1:26.975;1
7;69;16;1:25.844;1:25.319;1:27.033;1
8;123;45;1:26.194;1:25.265;1:27.127;1
9;94;16;1:25.899;1:25.380;1:27.163;1
10;125;38;1:25.427;1:25.241;1:27.246;1
11;134;9;1:25.827;1:25.504;;1
12;2;39;1:26.026;1:25.605;;1
13;74;49;1:26.074;1:25.607;;1
14;54;31;1:26.184;1:25.726;;1
15;145;31;1:26.454;;;1
16;24;44;1:26.503;;;1
17;89;39;1:26.598;;;1
18;130;17;1:26.677;;;1
19;118;17;1:26.742;;;1
20;22;44;1:26.964;;;1
1;14;11;1:35.058;1:33.784;1:35.181;2
2;123;45;1:34.745;1:33.990;1:35.273;2
3;129;38;1:34.935;1:34.276;1:35.518;2
4;13;11;1:34.681;1:34.387;1:35.651;2
5;37;45;1:34.907;1:34.258;1:35.690;2
6;104;49;1:35.083;1:34.547;1:35.750;2
7;125;38;1:35.027;1:34.222;1:35.797;2
8;56;9;1:35.166;1:34.562;1:36.106;2
9;94;16;1:35.476;1:34.456;1:36.170;2
10;2;39;1:35.260;1:34.706;1:37.659;2
11;134;9;1:35.110;1:34.769;;2
12;74;49;1:35.341;1:34.788;;2
13;145;31;1:35.280;1:34.905;;2
14;54;31;1:35.023;1:34.924;;2
15;22;44;1:35.507;1:35.431;;2
16;69;16;1:35.642;;;2
17;89;39;1:35.708;;;2
18;130;17;1:35.908;;;2
19;118;17;1:35.951;;;2
20;24;44;1:36.107;;;2
1;129;38;1:36.565;1:35.130;1:36.184;3
2;2;39;1:36.443;1:35.803;1:36.381;3
3;125;38;1:35.751;1:35.173;1:36.466;3
4;13;11;1:35.701;1:35.503;1:36.493;3
5;14;11;1:35.533;1:35.556;1:36.532;3
6;123;45;1:36.308;1:35.645;1:36.835;3
7;104;49;1:35.941;1:35.809;1:37.397;3
8;94;16;1:36.137;1:35.856;1:38.089;3
9;145;31;1:35.776;1:35.740;1:38.595;3
10;24;44;1:36.284;1:35.965;1:39.321;3
11;134;9;1:36.525;1:35.975;;3
12;54;31;1:36.646;1:36.032;;3
13;69;16;1:36.178;1:36.033;;3
14;37;45;1:36.364;1:36.066;;3
15;74;49;1:36.673;1:36.193;;3
16;22;44;1:36.906;;;3
17;89;39;1:36.908;;;3
18;56;9;1:36.966;;;3
19;118;17;1:37.669;;;3
20;130;17;1:37.672;;;3
1;123;45;1:32.779;1:32.671;1:33.431;4
2;37;45;1:33.165;1:32.613;1:33.712;4
3;129;38;1:32.680;1:32.474;1:34.015;4
4;14;11;1:32.978;1:32.842;1:34.044;4
5;145;31;1:32.851;1:32.877;1:34.196;4
6;13;11;1:33.116;1:32.842;1:34.239;4
7;2;39;1:33.627;1:32.860;1:34.578;4
8;69;16;1:33.297;1:33.014;1:34.818;4
9;104;49;1:33.672;1:33.166;1:35.134;4
10;94;16;1:33.117;1:32.827;1:35.380;4
11;54;31;1:33.479;1:33.242;;4
12;74;49;1:33.221;1:33.348;;4
13;56;9;1:33.495;1:33.487;;4
